,restaurent,online_order,book_table,rating,votes,location,rest_type,food_type,cost,type,city
5010,VT Sindhur Veg,No,No,3.3,13,Richmond Road,Casual Dining,"North Indian, Chinese",600,Buffet,Brigade Road
5011,Spice It,No,No,3.8,52,Richmond Road,Casual Dining,"North Indian, Continental, Italian",1200,Buffet,Brigade Road
5012,Woody's,No,No,2.3,116,Richmond Road,Casual Dining,"Chinese, South Indian, North Indian",650,Buffet,Brigade Road
5013,Skylit - Citrus Hotels,No,Yes,4.0,324,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean",1300,Buffet,Brigade Road
5014,Banjara Melting Pot,Yes,Yes,4.2,474,Cunningham Road,Casual Dining,"North Indian, Chinese, Seafood",1700,Buffet,Brigade Road
5015,Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,Cunningham Road,Casual Dining,"North Indian, South Indian, Chinese, Continental",1800,Buffet,Brigade Road
5016,One Atria Cafe,No,Yes,3.7,100,Race Course Road,Casual Dining,"South Indian, Continental, North Indian",1600,Buffet,Brigade Road
5017,24 Carats - The Capitol,No,No,3.1,46,Cunningham Road,Casual Dining,"Asian, Continental",1000,Buffet,Brigade Road
5018,BISO - Citrus Hotels,No,Yes,3.9,156,Cunningham Road,Casual Dining,"North Indian, South Indian, Italian, Continental",1100,Buffet,Brigade Road
5019,BLOW,Yes,Yes,4.2,935,Church Street,Cafe,"Cafe, Continental, American, Burger",750,Cafes,Brigade Road
5020,The Flying Squirrel,No,No,4.0,24,Brigade Road,Cafe,"Cafe, Bakery, Beverages, Burger, Continental",450,Cafes,Brigade Road
5021,Trick Or Treat,No,No,4.2,618,Brigade Road,Cafe,"Cafe, Burger, Continental, Pizza, Steak",500,Cafes,Brigade Road
5022,Fatso's,Yes,No,3.8,72,Brigade Road,Cafe,"Cafe, American, Italian, Burger",650,Cafes,Brigade Road
5023,Yomama!!,No,No,3.6,7,Brigade Road,Quick Bites,"Continental, Burger, Cafe, Steak",800,Cafes,Brigade Road
5024,Cafe Coffee Day,No,No,3.2,9,Brigade Road,Cafe,"Cafe, Fast Food",600,Cafes,Brigade Road
5025,Hashtag Cafe,No,No,2.8,43,Brigade Road,Cafe,"Cafe, Continental, European, Italian",700,Cafes,Brigade Road
5026,Smokie Brownie,Yes,No,3.2,7,Brigade Road,Cafe,Cafe,600,Cafes,Brigade Road
5028,Bon Sante,Yes,No,3.6,104,Brigade Road,Cafe,"Cafe, Continental, Italian",800,Cafes,Brigade Road
5029,Kalmane Koffees,No,No,3.6,46,Brigade Road,Cafe,Cafe,350,Cafes,Brigade Road
5030,Brik Oven,No,No,4.6,2257,Church Street,Cafe,"Cafe, Pizza, Beverages",1100,Cafes,Brigade Road
5031,Green Theory,Yes,Yes,4.2,2838,Residency Road,"Casual Dining, Cafe","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,Cafes,Brigade Road
5032,Truffles,No,No,4.5,3568,St. Marks Road,Cafe,"Cafe, American, Burger, Steak",900,Cafes,Brigade Road
5033,CafFelix,Yes,Yes,4.4,690,MG Road,"Casual Dining, Cafe","American, Cafe, Continental",1700,Cafes,Brigade Road
5034,The White Room - Coffee & Kitchen,No,Yes,4.0,1701,Church Street,Cafe,"Cafe, Continental, American, Desserts",1000,Cafes,Brigade Road
5035,Matteo Coffea,No,No,4.3,2635,Church Street,Cafe,Cafe,600,Cafes,Brigade Road
5036,Glen's Bakehouse,Yes,No,4.4,1084,Lavelle Road,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600,Cafes,Brigade Road
5037,Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1,563,MG Road,"Casual Dining, Cafe","North Indian, Italian, South Indian, Continental, Cafe, Salad",2500,Cafes,Brigade Road
5038,Smally's Resto Cafe,Yes,No,4.3,3547,Church Street,Cafe,"Cafe, Italian, Burger, American, Steak",650,Cafes,Brigade Road
5039,Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3,521,Lavelle Road,"Bakery, Cafe","Salad, Bakery, Cafe, Sandwich, Italian, Burger",1400,Cafes,Brigade Road
5040,Cafe Kaara,No,No,4.2,160,Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza",750,Cafes,Brigade Road
5041,Japan Travel Cafe Azuki,No,No,4.3,67,Residency Road,Cafe,"Cafe, Japanese",400,Cafes,Brigade Road
5042,Little Green Cafe,No,No,4.3,786,Church Street,"Cafe, Casual Dining","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,Cafes,Brigade Road
5043,Fabcafe,Yes,Yes,4.1,54,MG Road,Cafe,"Cafe, Healthy Food",800,Cafes,Brigade Road
5044,CafMor'ish,Yes,No,4.1,114,Richmond Road,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",700,Cafes,Brigade Road
5045,Skoolroom,Yes,No,4.3,566,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",700,Cafes,Brigade Road
5046,Lakeview Milkbar,No,No,4.0,1443,MG Road,"Dessert Parlor, Cafe","Desserts, Cafe, Fast Food",500,Cafes,Brigade Road
5047,Wolf'ish,Yes,No,4.1,460,Church Street,Cafe,"Cafe, American, Italian, Pizza, Burger",700,Cafes,Brigade Road
5048,Urban Solace - Caffor the Soul,Yes,No,3.9,461,Ulsoor,"Cafe, Casual Dining","Cafe, American, Continental, Steak",800,Cafes,Brigade Road
5049,Peppa Zzing,Yes,No,4.3,1133,Infantry Road,Cafe,"Cafe, Fast Food, Burger",800,Cafes,Brigade Road
5050,The Courtyard,No,Yes,3.9,296,Shanti Nagar,Cafe,"Cafe, Italian",750,Cafes,Brigade Road
5051,Marzipan @ The Bohemian House,Yes,No,4.2,50,Richmond Road,Cafe,Cafe,700,Cafes,Brigade Road
5052,Cafe Imroze,Yes,No,3.6,95,Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",650,Cafes,Brigade Road
5053,Starbucks,No,No,3.8,34,MG Road,Cafe,"Cafe, Desserts",700,Cafes,Brigade Road
5054,KAARA BY THE LAKE,No,No,4.0,47,Ulsoor,Cafe,"Cafe, Italian, Coffee",750,Cafes,Brigade Road
5055,Happy Belly Bakes,Yes,No,4.2,115,MG Road,"Cafe, Bakery","Cafe, Bakery",500,Cafes,Brigade Road
5056,Cafe Cassia& Deli,No,No,4.2,115,Ulsoor,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe",1000,Cafes,Brigade Road
5057,CafMH-28,Yes,No,3.4,9,Shivajinagar,Cafe,Cafe,300,Cafes,Brigade Road
5058,The Blackboard Bakery,No,Yes,3.7,91,Lavelle Road,"Cafe, Bakery","Cafe, Bakery, Continental",1000,Cafes,Brigade Road
5059,The Chocolate Heaven,No,No,3.7,0,Commercial Street,"Dessert Parlor, Cafe","Desserts, Cafe",600,Cafes,Brigade Road
5060,WAFL Caf,Yes,No,4.0,85,Residency Road,"Dessert Parlor, Quick Bites","Cafe, Fast Food, Desserts, Beverages",400,Cafes,Brigade Road
5061,Fresh Pressery Cafe,No,No,4.1,104,Lavelle Road,"Cafe, Quick Bites","Cafe, Italian, Healthy Food",1200,Cafes,Brigade Road
5062,The CafSaanchi,No,No,4.0,30,Richmond Road,Cafe,Cafe,800,Cafes,Brigade Road
5063,Tata Cha,Yes,No,3.9,66,Church Street,"Beverage Shop, Cafe","Cafe, Tea, North Indian",500,Cafes,Brigade Road
5064,Moto Store & Caf,Yes,No,4.2,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Cafes,Brigade Road
5065,Haji Ali Juice Centre,No,No,3.8,22,MG Road,"Beverage Shop, Quick Bites","Beverages, Cafe, Juices, Fast Food",350,Cafes,Brigade Road
5066,Driven Cafe,Yes,No,3.4,122,Residency Road,Cafe,"Cafe, Beverages, Fast Food",600,Cafes,Brigade Road
5067,Soul Cafe,No,Yes,3.9,315,MG Road,Cafe,"Cafe, Continental, Italian",800,Cafes,Brigade Road
5068,Barista,No,No,3.7,35,Shanti Nagar,Cafe,Cafe,300,Cafes,Brigade Road
5069,The Lobby Brew - Conrad Bengaluru,No,Yes,3.8,25,Ulsoor,Cafe,"Cafe, North Indian, Fast Food",2200,Cafes,Brigade Road
5070,Cafe @ Elanza,No,No,3.7,145,Richmond Road,"Casual Dining, Cafe","Chinese, North Indian, Cafe",1000,Cafes,Brigade Road
5071,Cafe 22,No,No,3.0,11,Church Street,Cafe,"Cafe, Fast Food",700,Cafes,Brigade Road
5072,Chai Ki Tapri,No,No,3.7,16,MG Road,Cafe,Cafe,250,Cafes,Brigade Road
5073,Cafe Aladdin,No,No,3.9,74,St. Marks Road,Cafe,"Cafe, Chinese",500,Cafes,Brigade Road
5074,Cafe Cerrise,No,No,3.8,99,Ulsoor,Cafe,"Cafe, Continental, Salad",600,Cafes,Brigade Road
5076,Bread and Circus,Yes,No,3.7,50,Shanti Nagar,Cafe,"Cafe, Fast Food, Pizza, Burger",550,Cafes,Brigade Road
5077,Savera Cafe,No,No,3.7,11,Shivajinagar,Cafe,Cafe,50,Cafes,Brigade Road
5079,Norsha Caffe,Yes,No,3.3,6,Commercial Street,Cafe,Cafe,400,Cafes,Brigade Road
5080,Swati Cafe,No,No,2.9,8,Shanti Nagar,Cafe,"Cafe, Fast Food",500,Cafes,Brigade Road
5081,Little Bites,No,No,3.6,7,MG Road,"Cafe, Quick Bites","Cafe, Fast Food",200,Cafes,Brigade Road
5083,Dasaprakash Cafe,No,No,3.1,10,MG Road,Cafe,Cafe,400,Cafes,Brigade Road
5084,The Bao Belly,No,No,3.3,9,Residency Road,Cafe,Cafe,400,Cafes,Brigade Road
5086,Lazzet Lee,No,No,3.3,0,Lavelle Road,Quick Bites,"Mughlai, Cafe",400,Cafes,Brigade Road
5087,X Cafe,No,No,3.3,0,Shanti Nagar,Cafe,"American, Cafe, Chinese, Italian, Desserts",400,Cafes,Brigade Road
5088,The Coffee Bean & Tea Leaf,Yes,No,3.8,260,MG Road,Cafe,Cafe,700,Cafes,Brigade Road
5089,Berrylicious Cafe,Yes,No,4.1,124,MG Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Cafes,Brigade Road
5091,Hammered,Yes,Yes,4.7,4639,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300,Cafes,Brigade Road
5092,Dolci Desserts,Yes,No,4.3,652,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",750,Cafes,Brigade Road
5093,The Culinarium,No,No,3.7,19,Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages",1100,Cafes,Brigade Road
5094,Infinitea Tea Room & Tea Store,Yes,Yes,4.3,858,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000,Cafes,Brigade Road
5095,Mudpipe Cafe,Yes,No,4.2,739,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",750,Cafes,Brigade Road
5096,Chels Cafe,Yes,No,3.5,20,Cunningham Road,Cafe,"Cafe, Burger",500,Cafes,Brigade Road
5099,Talk Ease,No,No,3.1,10,City Market,Cafe,Cafe,200,Cafes,Brigade Road
5100,Tea and Wine Lounge,No,No,3.5,10,Race Course Road,Cafe,"Cafe, Tea, Desserts",800,Cafes,Brigade Road
5101,eat.fit,Yes,Yes,4.1,94,Church Street,Quick Bites,"Healthy Food, North Indian, Biryani",300,Delivery,Brigade Road
5102,Kabab Souq,Yes,No,3.6,112,Richmond Road,Quick Bites,"Kebab, North Indian, Arabian, Chinese",500,Delivery,Brigade Road
5103,Kerala Pavilion,Yes,No,3.9,302,Domlur,Quick Bites,"Kerala, South Indian, Seafood, Biryani",300,Delivery,Brigade Road
5104,Donne Biriyani House,Yes,No,4.0,473,Indiranagar,Quick Bites,Biryani,300,Delivery,Brigade Road
5105,Leon Grill,Yes,No,4.3,284,St. Marks Road,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Delivery,Brigade Road
5106,FreshMenu,Yes,No,3.8,377,Richmond Road,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Brigade Road
5107,Sri Ganesh Juice Junction,Yes,No,4.1,210,Koramangala 8th Block,Beverage Shop,"Beverages, Juices, Fast Food",150,Delivery,Brigade Road
5108,Burger King,Yes,No,4.0,1393,Indiranagar,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Brigade Road
5109,Shanmukha,Yes,No,3.9,142,Old Airport Road,Casual Dining,"Biryani, Andhra, North Indian, Chinese",800,Delivery,Brigade Road
5110,New Taj,Yes,No,3.3,111,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery,Brigade Road
5111,Sandhya Veg,Yes,No,3.5,55,Brigade Road,Quick Bites,"South Indian, Chinese",150,Delivery,Brigade Road
5112,Dunkin' Donuts,Yes,No,4.1,1079,Brigade Road,"Quick Bites, Dessert Parlor","Burger, Desserts, Fast Food",550,Delivery,Brigade Road
5113,Khan Saheb Grills and Rolls,Yes,No,4.0,1072,Indiranagar,Quick Bites,"Fast Food, Rolls",350,Delivery,Brigade Road
5114,Shahi Family Restaurant,Yes,No,3.4,69,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",350,Delivery,Brigade Road
5115,Pathaan Sir,Yes,No,3.8,88,Frazer Town,Quick Bites,"Fast Food, Rolls, Momos",250,Delivery,Brigade Road
5116,BOX8- Desi Meals,Yes,No,4.3,290,Residency Road,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Brigade Road
5117,Moto Store & Caf,Yes,No,4.2,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Delivery,Brigade Road
5118,Punjabi Dhaba,Yes,No,3.5,350,Ejipura,Quick Bites,"North Indian, Chinese",350,Delivery,Brigade Road
5119,Warm Oven,Yes,No,4.3,889,Domlur,Delivery,"Bakery, Desserts",500,Delivery,Brigade Road
5120,Donne Biryani House,Yes,No,3.3,70,Residency Road,Quick Bites,Biryani,400,Delivery,Brigade Road
5121,Smally's Resto Cafe,Yes,No,4.3,3547,Church Street,Cafe,"Cafe, Italian, Burger, American, Steak",650,Delivery,Brigade Road
5122,Wazir's,Yes,No,3.3,261,Shanti Nagar,Casual Dining,"North Indian, Chinese",500,Delivery,Brigade Road
5123,Firangi Bake,Yes,No,3.9,59,Indiranagar,Delivery,"Mexican, Italian",600,Delivery,Brigade Road
5124,Behrouz Biryani,Yes,No,4.2,128,Vasanth Nagar,Delivery,Biryani,650,Delivery,Brigade Road
5125,Corner House Ice Cream,Yes,No,4.4,633,Residency Road,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Brigade Road
5126,Chai Point,Yes,No,4.2,176,Indiranagar,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Brigade Road
5127,Empire Restaurant,Yes,No,4.0,1864,Frazer Town,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Brigade Road
5128,Tadkawala,Yes,No,3.5,68,Vasanth Nagar,"Takeaway, Delivery",North Indian,200,Delivery,Brigade Road
5129,Shawarma Time,Yes,No,3.7,80,Ulsoor,Quick Bites,Arabian,300,Delivery,Brigade Road
5130,Bangalore Shadi Biriyani,Yes,No,3.5,57,Vasanth Nagar,Quick Bites,"Chinese, North Indian",150,Delivery,Brigade Road
5131,Pizza Hut,Yes,No,3.8,236,Shanti Nagar,Casual Dining,"Pizza, Fast Food",750,Delivery,Brigade Road
5132,Roti Shotti,Yes,No,3.8,61,Jeevan Bhima Nagar,Quick Bites,North Indian,400,Delivery,Brigade Road
5133,Indian Chicken Biryani Point,Yes,No,3.3,9,Richmond Road,Quick Bites,"Biryani, South Indian",300,Delivery,Brigade Road
5134,Nando's,Yes,No,4.3,1217,Indiranagar,Casual Dining,"Portuguese, African",1200,Delivery,Brigade Road
5135,KFC,Yes,No,3.6,206,Cunningham Road,Quick Bites,"Burger, Fast Food",400,Delivery,Brigade Road
5136,Dakshin Restaurant,Yes,No,3.6,16,Brigade Road,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",800,Delivery,Brigade Road
5137,KC Das,Yes,No,3.9,370,MG Road,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery,Brigade Road
5138,Ovenstory Pizza,Yes,No,3.8,97,Vasanth Nagar,Delivery,Pizza,750,Delivery,Brigade Road
5139,M.M.A Kababs Rolls & Biryani Center,Yes,No,2.7,67,Old Madras Road,Quick Bites,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery,Brigade Road
5140,Richie Rich,Yes,No,4.0,624,Race Course Road,"Dessert Parlor, Quick Bites","Desserts, Beverages, Fast Food, Ice Cream",450,Delivery,Brigade Road
5141,Belgian Waffle Factory,Yes,No,4.9,1746,Brigade Road,Dessert Parlor,Desserts,400,Delivery,Brigade Road
5142,No 10 Fort Cochin,Yes,Yes,3.8,194,St. Marks Road,Casual Dining,"Biryani, Kerala, Seafood, South Indian",800,Delivery,Brigade Road
5143,Shanthi Sagar,Yes,No,4.1,204,Ulsoor,Quick Bites,"South Indian, North Indian, Chinese, Juices",250,Delivery,Brigade Road
5144,Savoury Restaurant,Yes,No,4.1,1443,Frazer Town,Casual Dining,"Arabian, North Indian, Chinese, Beverages",800,Delivery,Brigade Road
5145,Faasos,Yes,No,3.8,101,Vasanth Nagar,Delivery,"North Indian, Biryani, Fast Food",500,Delivery,Brigade Road
5146,Karama Restaurant,Yes,Yes,4.4,2860,Frazer Town,Casual Dining,"Arabian, North Indian, Beverages",750,Delivery,Brigade Road
5147,The Mughal's,Yes,No,3.7,89,Frazer Town,Quick Bites,"Mughlai, North Indian, Chinese",400,Delivery,Brigade Road
5148,Potful,Yes,No,4.1,1125,Domlur,Delivery,"Biryani, Kebab, Rolls, Mughlai",650,Delivery,Brigade Road
5149,KKR FOODIES,Yes,Yes,3.1,58,St. Marks Road,Quick Bites,"Biryani, Chinese, Fast Food, North Indian",400,Delivery,Brigade Road
5150,Hotel Dil Coorg,Yes,No,3.6,79,Ulsoor,Quick Bites,"North Indian, South Indian",300,Delivery,Brigade Road
5151,Meghana Foods,Yes,Yes,4.2,1746,Indiranagar,Casual Dining,"Biryani, Chinese, North Indian, Seafood",750,Delivery,Brigade Road
5152,The Milkshake Theory,Yes,No,3.2,40,Lavelle Road,Beverage Shop,"Beverages, Fast Food",400,Delivery,Brigade Road
5153,Snack House,Yes,No,3.8,22,Indiranagar,Quick Bites,"Fast Food, Momos",200,Delivery,Brigade Road
5154,Indiana Burgers,Yes,No,3.4,46,Domlur,Delivery,Burger,300,Delivery,Brigade Road
5155,Xpress Biryani,Yes,No,4.3,146,Ulsoor,Casual Dining,"Biryani, North Indian, Kebab",650,Delivery,Brigade Road
5156,Cupcake Bliss,Yes,No,3.6,8,Domlur,Delivery,Bakery,250,Delivery,Brigade Road
5157,New Alameen Restaurant,Yes,No,3.5,24,Ulsoor,Quick Bites,"Kerala, North Indian, Chinese",300,Delivery,Brigade Road
5158,Soda Bottle Opener Wala,Yes,Yes,4.4,3651,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian",1300,Delivery,Brigade Road
5159,Smoke House Deli,Yes,No,4.6,2490,Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600,Delivery,Brigade Road
5160,Thai Chy,Yes,Yes,4.3,375,Indiranagar,Casual Dining,"Thai, Asian, Indonesian",1200,Delivery,Brigade Road
5161,Donne Biryani Hatti,Yes,No,3.6,27,Vasanth Nagar,Quick Bites,Biryani,300,Delivery,Brigade Road
5162,Kabab Magic,Yes,No,3.9,74,Richmond Road,Casual Dining,"North Indian, Kebab, Fast Food",500,Delivery,Brigade Road
5163,The Good Bowl,Yes,No,3.6,10,Vasanth Nagar,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Brigade Road
5164,Tata Cha,Yes,No,3.9,67,Church Street,"Beverage Shop, Cafe","Cafe, Tea, North Indian",500,Delivery,Brigade Road
5165,Ishta Upahar,Yes,No,3.4,41,Ulsoor,Quick Bites,South Indian,100,Delivery,Brigade Road
5166,Krispy Kreme,Yes,No,4.0,47,Richmond Road,Dessert Parlor,"Desserts, Beverages",300,Delivery,Brigade Road
5167,Healthie,Yes,No,3.9,189,Indiranagar,Delivery,"Healthy Food, Beverages",600,Delivery,Brigade Road
5168,XO Belgian Waffle,Yes,No,4.4,215,Brigade Road,Food Court,"Desserts, Beverages",450,Delivery,Brigade Road
5169,Mani's Dum Biryani,Yes,No,4.0,175,Ulsoor,Casual Dining,"Biryani, Kebab",750,Delivery,Brigade Road
5170,Biryani Trip,Yes,No,4.0,0,Indiranagar,Delivery,Biryani,400,Delivery,Brigade Road
5171,Hammered,Yes,Yes,4.7,4657,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300,Delivery,Brigade Road
5172,Subway,Yes,No,3.9,107,Lavelle Road,Quick Bites,"Salad, Fast Food",600,Delivery,Brigade Road
5173,Kaati Zone,Yes,No,3.1,163,Church Street,Quick Bites,"Fast Food, Biryani, Rolls",350,Delivery,Brigade Road
5174,Glen's Bakehouse,Yes,No,4.4,1087,Lavelle Road,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600,Delivery,Brigade Road
5175,Peace Restaurant,Yes,No,2.8,109,Shanti Nagar,Casual Dining,"Chinese, Tibetan",500,Delivery,Brigade Road
5176,Swathi Deluxe Restaurant,Yes,No,3.0,74,Shanti Nagar,Casual Dining,North Indian,500,Delivery,Brigade Road
5177,Suryawanshi,Yes,No,4.2,444,Indiranagar,Casual Dining,"Seafood, Maharashtrian",700,Delivery,Brigade Road
5178,Portland Steakhouse & Cafe,Yes,Yes,4.3,2040,MG Road,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad",1500,Delivery,Brigade Road
5179,WOW! Momo,Yes,No,3.7,123,Brigade Road,"Food Court, Quick Bites","Chinese, Momos",400,Delivery,Brigade Road
5180,Thalis Of India,Yes,No,3.4,21,Indiranagar,Delivery,"South Indian, North Indian, Beverages",500,Delivery,Brigade Road
5181,Keventers,Yes,No,4.0,568,Indiranagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery,Brigade Road
5182,Utse Kitchen,Yes,No,4.2,172,Commercial Street,Casual Dining,"Nepalese, Tibetan, Momos",800,Delivery,Brigade Road
5184,Shawarma Inc,Yes,No,3.1,28,Brigade Road,Food Court,"Rolls, Lebanese",250,Delivery,Brigade Road
5185,Alampur Bar And Restaurant,Yes,No,3.7,42,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Delivery,Brigade Road
5186,SGS Non Veg - Gundu Pulav,Yes,No,3.9,55,St. Marks Road,Quick Bites,"Biryani, Fast Food",400,Delivery,Brigade Road
5187,Hotel Fanoos,Yes,No,4.0,787,Richmond Road,Quick Bites,"Arabian, Biryani, Rolls, Kebab",400,Delivery,Brigade Road
5188,Laughing Llama Gastropub,Yes,Yes,4.3,393,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza",1600,Delivery,Brigade Road
5189,Imperial Restaurant,Yes,No,3.9,238,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani, Kebab, Juices",800,Delivery,Brigade Road
5190,Oregano Pizzeria,Yes,No,3.5,60,Frazer Town,Quick Bites,"Italian, Pizza",300,Delivery,Brigade Road
5191,The Good Grain,Yes,No,4.1,54,Residency Road,Casual Dining,"Healthy Food, North Indian, South Indian",400,Delivery,Brigade Road
5192,Pasta Street,Yes,Yes,4.5,1621,Cunningham Road,Casual Dining,"Italian, Pizza, Salad",1300,Delivery,Brigade Road
5193,Chetty's Coffee,Yes,No,3.7,18,MG Road,Quick Bites,South Indian,200,Delivery,Brigade Road
5194,Cita Pani,Yes,Yes,3.9,54,Indiranagar,Quick Bites,"Biryani, North Indian, Arabian",350,Delivery,Brigade Road
5196,The Waffle Press,Yes,No,4.3,116,St. Marks Road,Dessert Parlor,"Desserts, Ice Cream",400,Delivery,Brigade Road
5197,Delicacy,Yes,No,3.9,306,Frazer Town,Casual Dining,"Chinese, Thai, Momos",500,Delivery,Brigade Road
5198,Kareem's,Yes,No,3.6,32,Frazer Town,Quick Bites,"North Indian, Mughlai",700,Delivery,Brigade Road
5199,Berrylicious Cafe,Yes,No,4.1,125,MG Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Delivery,Brigade Road
5200,Mamagoto,Yes,Yes,4.4,2560,Indiranagar,Casual Dining,"Asian, Thai, Chinese, BBQ, Momos",1600,Delivery,Brigade Road
5201,Tayabbs,Yes,No,3.0,10,Frazer Town,Quick Bites,"Rolls, North Indian, Fast Food",500,Delivery,Brigade Road
5202,Atty's Bakery,Yes,No,4.0,73,Frazer Town,Bakery,Bakery,250,Delivery,Brigade Road
5203,Vijayalakshmi Veg,Yes,No,3.9,30,Frazer Town,Quick Bites,South Indian,200,Delivery,Brigade Road
5204,Sahana's (Nati Style),Yes,No,3.7,47,Wilson Garden,Quick Bites,North Indian,350,Delivery,Brigade Road
5205,The Cake House,Yes,No,3.7,29,Ulsoor,Bakery,"Bakery, Desserts",300,Delivery,Brigade Road
5206,Eden Park,Yes,Yes,4.1,612,Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",1100,Delivery,Brigade Road
5207,YumYumDilli,Yes,No,3.6,51,Indiranagar,Delivery,North Indian,500,Delivery,Brigade Road
5208,Kanti Sweets,Yes,No,3.9,100,Brigade Road,"Sweet Shop, Quick Bites","Mithai, Street Food",400,Delivery,Brigade Road
5209,Rahhams,Yes,No,3.9,847,Frazer Town,Casual Dining,"Mughlai, North Indian, Chinese",700,Delivery,Brigade Road
5211,Marzipan Cafe & Bakery,Yes,No,4.2,432,Ulsoor,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Delivery,Brigade Road
5212,Bozo's Yum Yums,Yes,No,4.0,90,Frazer Town,"Takeaway, Delivery","Fast Food, Burger, American",650,Delivery,Brigade Road
5213,Skoolroom,Yes,No,4.3,570,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",700,Delivery,Brigade Road
5214,Pind Balluchi,Yes,Yes,4.0,1021,Brigade Road,Casual Dining,"North Indian, Mughlai",700,Delivery,Brigade Road
5215,Cream Chemistry,Yes,No,3.9,148,Frazer Town,Dessert Parlor,"Ice Cream, Desserts",500,Delivery,Brigade Road
5216,The Brekkie Shop,Yes,No,3.5,64,MG Road,Takeaway,"Healthy Food, Sandwich",300,Delivery,Brigade Road
5217,Maravanthe,Yes,No,3.5,12,Brigade Road,Casual Dining,"Mangalorean, Seafood",650,Delivery,Brigade Road
5219,WAFL Caf,Yes,No,4.0,85,Residency Road,"Dessert Parlor, Quick Bites","Cafe, Fast Food, Desserts, Beverages",400,Delivery,Brigade Road
5220,Haldiram's Express,Yes,No,3.6,44,Brigade Road,Kiosk,North Indian,300,Delivery,Brigade Road
5221,Hotel Ramprasad,Yes,No,4.2,93,Brigade Road,Quick Bites,"South Indian, Chinese",300,Delivery,Brigade Road
5222,The Chef's Cake & Bakes,Yes,No,4.2,0,Richmond Road,Dessert Parlor,Desserts,800,Delivery,Brigade Road
5223,Anna Kuteera,Yes,No,3.8,62,St. Marks Road,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Brigade Road
5224,Indian Spice Food,Yes,No,3.6,15,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery,Brigade Road
5225,Wangs Kitchen,Yes,No,2.5,22,Ulsoor,Casual Dining,Chinese,1000,Delivery,Brigade Road
